date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,rent,maintenance_cost,property_tax,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_total_cost
2014-01-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,588.6744156839883,510.934861404795,146657.66905959227,378400.0,231742.33094040773,862.0,287.3333333333333,315.3333333333333,315.3333333333333,1506.6744156839882,0,0,1506.6744156839882
2014-02-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,586.6306762383691,512.9786008504142,146144.69045874185,380300.0,234155.30954125815,862.0,287.3333333333333,316.9166666666667,316.9166666666667,1507.797342905036,0,0,1507.797342905036
2014-03-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,584.5787618349674,515.0305152538159,145629.65994348805,381000.0,235370.34005651195,862.0,287.3333333333333,317.5,317.5,1506.9120951683008,0,0,1506.9120951683008
2014-04-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,582.5186397739523,517.090637314831,145112.56930617322,381900.0,236787.43069382678,862.0,287.3333333333333,318.25,318.25,1506.3519731072856,0,0,1506.3519731072856
2014-05-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,580.4502772246929,519.1589998640904,144593.41030630912,383300.0,238706.58969369088,862.0,287.3333333333333,319.4166666666667,319.4166666666667,1506.6169438913596,0,0,1506.6169438913596
2014-06-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,578.3736412252365,521.2356358635468,144072.17467044556,385200.0,241127.82532955444,862.0,287.3333333333333,321.0,321.0,1507.7069745585698,0,0,1507.7069745585698
2014-07-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,576.2886986817822,523.3205784070011,143548.85409203856,386700.0,243151.14590796144,862.0,287.3333333333333,322.25,322.25,1508.1220320151156,0,0,1508.1220320151156
2014-08-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,574.1954163681543,525.413860720629,143023.44023131792,388900.0,245876.55976868208,862.0,287.3333333333333,324.0833333333333,324.0833333333333,1509.6954163681542,0,0,1509.6954163681542
2014-09-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,572.0937609252717,527.5155161635116,142495.9247151544,391300.0,248804.0752848456,862.0,287.3333333333333,326.0833333333333,326.0833333333333,1511.5937609252715,0,0,1511.5937609252715
2014-10-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,569.9836988606176,529.6255782281658,141966.29913692625,394000.0,252033.70086307375,883.0,294.3333333333333,328.3333333333333,328.3333333333333,1520.9836988606173,0,0,1520.9836988606173
2014-11-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,567.865196547705,531.7440805410783,141434.55505638517,396600.0,255165.44494361483,883.0,294.3333333333333,330.5,330.5,1523.1985298810382,0,0,1523.1985298810382
2014-12-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,565.7382202255407,533.8710568632426,140900.68399952192,399300.0,258399.31600047808,883.0,294.3333333333333,332.75,332.75,1525.571553558874,0,0,1525.571553558874
2015-01-01,236900,47380.0,189520.0,fixed,5,0.039599999999999996,1039.403256895942,464.97225719842226,574.4309996975196,140326.2529998244,401700.0,261373.7470001756,883.0,294.3333333333333,334.75,334.75,1428.8055905317556,0,0,1428.8055905317556
2015-02-01,236900,47380.0,189520.0,fixed,5,0.039599999999999996,1039.403256895942,463.0766348994205,576.3266219965215,139749.92637782788,402900.0,263150.0736221721,883.0,294.3333333333333,335.75,335.75,1428.9099682327537,0,0,1428.9099682327537
2015-03-01,236900,47380.0,189520.0,fixed,5,0.039599999999999996,1039.403256895942,461.1747570468319,578.22849984911,139171.69787797876,404900.0,265728.3021220212,883.0,294.3333333333333,337.4166666666667,337.4166666666667,1430.3414237134987,0,0,1430.3414237134987
2015-04-01,236900,47380.0,189520.0,fixed,5,0.039599999999999996,1039.403256895942,459.26660299732987,580.136653898612,138591.56122408016,407500.0,268908.43877591984,883.0,294.3333333333333,339.5833333333333,339.5833333333333,1432.7666029973298,0,0,1432.7666029973298
2015-05-01,236900,47380.0,189520.0,fixed,5,0.039599999999999996,1039.403256895942,457.35215203946444,582.0511048564774,138009.51011922368,410200.0,272190.4898807763,883.0,294.3333333333333,341.8333333333333,341.8333333333333,1435.3521520394643,0,0,1435.3521520394643
2015-06-01,236900,47380.0,189520.0,fixed,5,0.039599999999999996,1039.403256895942,455.43138339343807,583.9718735025039,137425.53824572117,414100.0,276674.46175427886,883.0,294.3333333333333,345.0833333333333,345.0833333333333,1439.931383393438,0,0,1439.931383393438
2015-07-01,236900,47380.0,189520.0,fixed,5,0.039599999999999996,1039.403256895942,453.50427621087977,585.8989806850622,136839.6392650361,418500.0,281660.3607349639,883.0,294.3333333333333,348.75,348.75,1445.3376095442131,0,0,1445.3376095442131
