start_year,holding_period,end_year,start_date,end_date,Attribute,start_value,end_value,total_growth,cagr
2015,5,2020,2015-01-01,2020-12-01,Vancouver,211.96532175040392,298.12043335852854,0.4064585230105473,0.07059543157149717
2015,10,2025,2015-01-01,2025-12-01,Calgary,197.79995147207748,205.0209057253627,0.03650634997402702,0.0035920137980092193
2015,10,2025,2015-01-01,2025-12-01,Canada,191.02531915802058,242.9773280389394,0.27196399466786336,0.02434790085371974
2015,10,2025,2015-01-01,2025-12-01,Edmonton,220.30764637408885,197.41340223535585,-0.10391942592794945,-0.010912516117550841
2015,10,2025,2015-01-01,2025-12-01,Montreal,195.88192001271858,286.5319498218987,0.46277895276549375,0.038766344547627174
2015,10,2025,2015-01-01,2025-12-01,Ottawa,166.66321088819035,238.61320681037176,0.4317089268755936,0.036538585009622926
2015,10,2025,2015-01-01,2025-12-01,S&P 500(CAD),96.08649350976518,282.6585515097289,1.9417095076011135,0.11393532999798683
2015,10,2025,2015-01-01,2025-12-01,TSX,171.29429964071073,278.8887317581537,0.6281261684896811,0.04995045397431208
2015,10,2025,2015-01-01,2025-12-01,Toronto,183.75559004478245,257.6635206963441,0.4022077947862692,0.03438267456461119
2015,10,2025,2015-01-01,2025-12-01,Vancouver,211.96532175040392,290.2397581254723,0.36927944499921117,0.03192755390656443
2020,5,2025,2020-01-01,2025-12-01,Calgary,166.28215931433948,205.0209057253627,0.23296995041898372,0.042774730631655045
2020,5,2025,2020-01-01,2025-12-01,Canada,262.329020964092,242.9773280389394,-0.07376878415522892,-0.015209426816532479
2020,5,2025,2020-01-01,2025-12-01,Edmonton,190.58505323528792,197.41340223535585,0.03582835528890049,0.00706513108100415
2020,5,2025,2020-01-01,2025-12-01,Montreal,215.5922173406258,286.5319498218987,0.3290458874458877,0.05854175843081255
2020,5,2025,2020-01-01,2025-12-01,Ottawa,187.65364065231807,238.61320681037176,0.2715618305134342,0.04922226166944532
2020,5,2025,2020-01-01,2025-12-01,S&P 500(CAD),152.4211829217319,282.6585515097289,0.8544571436299226,0.13147082528901155
2020,5,2025,2020-01-01,2025-12-01,TSX,183.69803024942664,278.8887317581537,0.5181911933376553,0.08708948142751138
2020,5,2025,2020-01-01,2025-12-01,Toronto,257.0659221448343,257.6635206963441,0.002324689894808829,0.0004645062463599636
2020,5,2025,2020-01-01,2025-12-01,Vancouver,282.068221700636,290.2397581254723,0.028970071054331248,0.0057280169033311346
