date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost
2009-07-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,801.321777746694,373.84195395649874,171337.96756319224,299200,127862.03243680776,2009,782.0,260.6666666666667,249.33333333333334,249.33333333333334,1560.6551110800272,0.0,0.0,1560.6551110800272
2009-08-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,799.5771819615637,375.586549741629,170962.38101345062,303300,132337.61898654938,2009,782.0,260.6666666666667,252.75,252.75,1565.7438486282304,0.0,0.0,1565.7438486282304
2009-09-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,797.8244447294361,377.33928697375666,170585.04172647686,307800,137214.95827352314,2009,782.0,260.6666666666667,256.5,256.5,1571.4911113961027,0.0,0.0,1571.4911113961027
2009-10-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,796.063528056892,379.10020364630077,170205.94152283057,312400,142194.05847716943,2009,782.0,260.6666666666667,260.3333333333333,260.3333333333333,1577.3968613902252,0.0,0.0,1577.3968613902252
2009-11-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,794.2943937732092,380.86933792998354,169825.07218490058,316400,146574.92781509942,2009,782.0,260.6666666666667,263.6666666666667,263.6666666666667,1582.2943937732093,0.0,0.0,1582.2943937732093
2009-12-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,792.5170035295359,382.6467281736568,169442.42545672692,320600,151157.57454327308,2009,782.0,260.6666666666667,267.1666666666667,267.1666666666667,1587.5170035295362,0.0,0.0,1587.5170035295362
2010-01-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,677.7697018269077,421.83957526187555,169020.58588146506,322400,153379.41411853494,2010,806.0,268.6666666666667,268.6666666666667,268.6666666666667,1483.769701826908,0.0,0.0,1483.769701826908
2010-02-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,676.0823435258602,423.5269335629231,168597.05894790214,324600,156002.94105209786,2010,806.0,268.6666666666667,270.5,270.5,1485.7490101925268,0.0,0.0,1485.7490101925268
2010-03-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,674.3882357916086,425.2210412971747,168171.83790660498,326200,158028.16209339502,2010,806.0,268.6666666666667,271.8333333333333,271.8333333333333,1486.7215691249419,0.0,0.0,1486.7215691249419
2010-04-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,672.68735162642,426.92192546236333,167744.9159811426,326800,159055.0840188574,2010,806.0,268.6666666666667,272.3333333333333,272.3333333333333,1486.0206849597532,0.0,0.0,1486.0206849597532
2010-05-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,670.9796639245704,428.62961316421286,167316.2863679784,326300,158983.7136320216,2010,806.0,268.6666666666667,271.9166666666667,271.9166666666667,1483.4796639245706,0.0,0.0,1483.4796639245706
2010-06-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,669.2651454719137,430.3441316168696,166885.94223636153,325300,158414.05776363847,2010,806.0,268.6666666666667,271.0833333333333,271.0833333333333,1480.098478805247,0.0,0.0,1480.098478805247
2010-07-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,667.5437689454461,432.0655081433372,166453.8767282182,324300,157846.1232717818,2010,806.0,268.6666666666667,270.25,270.25,1476.7104356121129,0.0,0.0,1476.7104356121129
2010-08-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,665.8155069128728,433.7937701759105,166020.08295804227,324200,158179.91704195773,2010,806.0,268.6666666666667,270.1666666666667,270.1666666666667,1474.815506912873,0.0,0.0,1474.815506912873
2010-09-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,664.0803318321691,435.5289452566142,165584.55401278567,324500,158915.44598721433,2010,806.0,268.6666666666667,270.4166666666667,270.4166666666667,1473.5803318321693,0.0,0.0,1473.5803318321693
2010-10-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,662.3382160511427,437.2710610376406,165147.28295174803,325600,160452.71704825197,2010,806.0,268.6666666666667,271.3333333333333,271.3333333333333,1473.6715493844758,0.0,0.0,1473.6715493844758
2010-11-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,660.5891318069921,439.0201452817912,164708.26280646623,327100,162391.73719353377,2010,806.0,268.6666666666667,272.5833333333333,272.5833333333333,1474.4224651403254,0.0,0.0,1474.4224651403254
2010-12-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,658.8330512258649,440.7762258629184,164267.48658060332,328900,164632.51341939668,2010,806.0,268.6666666666667,274.0833333333333,274.0833333333333,1475.6663845591981,0.0,0.0,1475.6663845591981
2011-01-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,657.0699463224133,442.53933076636997,163824.94724983696,330900,167075.05275016304,2011,826.0,275.3333333333333,275.75,275.75,1483.9032796557467,0.0,0.0,1483.9032796557467
2011-02-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,655.2997889993478,444.3094880894355,163380.63776174752,333800,170419.36223825248,2011,826.0,275.3333333333333,278.1666666666667,278.1666666666667,1486.9664556660146,0.0,0.0,1486.9664556660146
